LHA,cases_per_100k,Date
Southern Gulf Islands,0,2021-07-20
Cowichan Valley South,0,2021-07-20
Cowichan Valley West,0,2021-07-20
Cowichan Valley North,0,2021-07-20
Greater Nanaimo,0,2021-07-20
Oceanside,0,2021-07-20
Alberni/Clayoquot,0,2021-07-20
Comox Valley,0,2021-07-20
Greater Campbell River,0,2021-07-20
Vancouver Island West,0,2021-07-20
Vancouver Island North,1,2021-07-20
Haida Gwaii,0,2021-07-20
Prince Rupert,0,2021-07-20
Upper Skeena,3,2021-07-20
Smithers,0,2021-07-20
Kitimat,0,2021-07-20
Terrace,0,2021-07-20
Nisga'a,0,2021-07-20
Quesnel,0,2021-07-20
Burns Lake,2,2021-07-20
Nechako,0,2021-07-20
Prince George,1,2021-07-20
Peace River South,1,2021-07-20
Peace River North,0,2021-07-20
Fort Nelson,0,2021-07-20
Snow Country - Stikine - Telegraph Creek,0,2021-07-20
Fernie,1,2021-07-23
Cranbrook,2,2021-07-23
Kimberley,1,2021-07-23
Windermere,0,2021-07-23
Creston,0,2021-07-23
Golden,2,2021-07-23
Kootenay Lake,19,2021-07-23
Nelson,10,2021-07-23
Castlegar,29,2021-07-23
Arrow Lakes,0,2021-07-23
Trail,3,2021-07-23
Grand Forks,4,2021-07-23
Kettle Valley,8,2021-07-23
Southern Okanagan,2,2021-07-23
Penticton,0,2021-07-23
Keremeos,0,2021-07-23
Princeton,0,2021-07-23
Armstrong/Spallumcheen,1,2021-07-23
Vernon,2,2021-07-23
Central Okanagan,6,2021-07-23
Summerland,6,2021-07-23
Enderby,2,2021-07-23
Revelstoke,0,2021-07-23
Salmon Arm,1,2021-07-23
Kamloops,2,2021-07-23
100 Mile House,0,2021-07-23
North Thompson,0,2021-07-23
Cariboo/Chilcotin,0,2021-07-23
Lillooet,0,2021-07-23
South Cariboo,0,2021-07-23
Merritt,0,2021-07-23
Hope,2,2021-07-23
Chilliwack,1,2021-07-23
Abbotsford,1,2021-07-23
Mission,1,2021-07-23
Agassiz/Harrison,1,2021-07-23
New Westminster,0,2021-07-23
Burnaby,1,2021-07-23
Maple Ridge/Pitt Meadows,3,2021-07-23
Tri-Cities,1,2021-07-23
Langley,1,2021-07-23
Delta,1,2021-07-23
Surrey,1,2021-07-23
South Surrey/White Rock,1,2021-07-23
Richmond,1,2021-07-23
Vancouver - City Centre,2,2021-07-23
Vancouver - Centre North,2,2021-07-23
Vancouver - Northeast,1,2021-07-23
Vancouver - Westside,0,2021-07-23
Vancouver - Midtown,1,2021-07-23
